Gene	Bc	Ac	Cc	Ai	Bi	Ci
TPRE007394	583	583	732	564	842	855
TPRE007395	98	168	172	148	126	217
TPRE007396	14	7	26	23	15	23
TPRE007397	1015	1611	2501	1556	1914	1926
TPRE007398	3839	6499	8227	5055	6168	6745
TPRE007399	1512	899	1216	964	959	1685
TPRE007400	997	1365	1944	1276	1506	1740
TPRE007401	94	100	140	119	122	145
TPRE007402	1859	2775	4154	2682	3115	3587
TPRE007403	6008	8497	12025	7576	8690	10828
TPRE007404	173	276	285	198	227	268
TPRE007405	171	299	310	246	288	312
TPRE007406	945	1436	1674	1126	1358	1433
TPRE007407	151	225	257	159	199	237
TPRE007408	491	692	791	554	634	746
TPRE007409	21	34	44	32	39	28
TPRE007410	77	150	216	112	150	129
TPRE007411	182	300	314	237	272	281
TPRE007412	69	82	115	67	119	105
TPRE007413	31	34	49	28	40	53
TPRE007414	20	17	15	8	22	26
TPRE007415	15	30	37	14	27	32
TPRE007416	36	32	55	38	62	30
TPRE007417	6	13	16	6	13	15
TPRE007418	405	731	914	634	735	776
TPRE007419	18	9	19	9	27	29
TPRE007420	8	19	18	14	22	15
TPRE007421	118	142	176	151	175	189
TPRE007422	1	4	10	13	10	2
TPRE007423	33	55	46	58	44	56
TPRE007424	61	96	161	90	125	113
TPRE007425	133	277	298	207	256	249
TPRE007426	23	30	42	25	33	36
TPRE007427	23	18	17	10	14	21
TPRE007428	42	49	113	72	87	93
TPRE007429	115	140	162	113	104	167
TPRE007430	61	100	97	117	100	96
TPRE007431	14	14	26	26	38	36
TPRE007432	9	13	25	17	19	23
TPRE007433	238	374	509	282	287	328
TPRE007434	27	37	43	32	35	50
TPRE007435	179	242	337	237	329	315
TPRE007436	1090	1621	1871	1271	1358	1719
TPRE007437	34	41	52	32	43	72
TPRE007438	262	346	484	346	407	475
TPRE007439	136	130	257	150	155	257
TPRE007440	50	68	92	75	46	69
TPRE007441	17465	26222	33448	22646	25147	28702
TPRE007442	112	147	248	212	169	284
TPRE007443	1011	1550	1878	1355	1692	2072
TPRE007444	318	269	366	234	314	379
TPRE007445	230	126	260	203	188	265
TPRE007446	1039	1026	1638	876	1114	1258
TPRE007447	384	586	577	500	567	647
TPRE007448	133	116	222	88	155	172
TPRE007449	202	188	263	161	212	252
TPRE007450	3	1	0	4	2	1
TPRE007451	341	192	309	226	256	201
TPRE007452	35	0	3	4	8	6
TPRE007453	82	100	148	66	111	132
TPRE007454	1743	2581	2286	1396	1594	1985
TPRE007455	401	527	546	361	452	491
TPRE007456	24	20	29	12	16	42
TPRE007457	9264	13880	17671	11485	13996	15078
TPRE007458	1753	2093	2976	1915	1939	2692
TPRE007459	1465	2045	2524	1692	2085	2358
TPRE007460	2885	3816	4451	2735	3420	4037
TPRE007461	5263	4287	5314	4008	3759	6125
TPRE007462	5206	7956	9273	6120	6898	8090
TPRE007463	16	7	13	10	14	20
TPRE007464	55	55	74	55	43	58
TPRE007465	36	38	40	43	36	60
TPRE007466	9279	2735	4148	3338	4004	4099
TPRE007467	2346	1206	1368	1070	1180	1339
TPRE007468	639	860	888	597	753	691
TPRE007469	2	6	3	5	19	7
TPRE007470	453	557	616	507	618	684
TPRE007471	2	1	9	5	2	1
TPRE007472	1047	796	1233	1047	1046	1506
TPRE007473	496	309	566	778	1125	504
TPRE007474	999	1208	1694	1169	1346	1777
TPRE007475	4124	4880	6332	4899	5236	7537
TPRE007476	6	2	7	5	4	6
TPRE007477	0	2	0	0	0	0
TPRE007478	26	25	68	39	43	52
TPRE007479	0	0	1	0	0	5
TPRE007480	13	22	23	26	14	19
TPRE007481	0	2	0	0	0	3
TPRE007482	167	249	396	272	320	313
TPRE007483	155	274	429	257	335	366
TPRE007484	836	1389	1775	1392	1577	1676
TPRE007485	49	73	93	87	81	163
TPRE007486	3514	2566	3293	2442	2548	3172
TPRE007487	6	2	1	0	3	0
TPRE007488	67	34	45	392	375	452
TPRE007489	1	0	0	0	0	2
TPRE007490	0	0	0	0	0	0
TPRE007491	7	12	24	6	10	4
TPRE007492	10	29	43	16	25	30
TPRE007493	323	686	893	496	581	612
TPRE007494	2338	3543	5061	3234	3559	5199
TPRE007495	2371	2494	3481	2031	2461	2972
TPRE007496	23	47	43	27	37	27
TPRE007497	6	16	12	18	12	16
TPRE007498	8	0	0	2	3	1
TPRE007499	717	441	754	637	713	850
TPRE007500	863	1228	1556	1026	1138	1437
TPRE007501	3708	4273	4686	3656	4153	4739
TPRE007502	1113	1707	1593	966	1204	1450
TPRE007503	187	162	263	226	197	284
TPRE007504	451	533	674	484	532	723
TPRE007505	3031	2892	2572	2277	2384	3007
TPRE007506	327	453	618	456	448	584
TPRE007507	2092	2601	4663	2888	3259	4308
TPRE007508	234	325	623	347	340	612
TPRE007509	0	1	2	0	2	3
TPRE007510	1	5	2	3	8	8
TPRE007511	63	80	144	115	110	198
TPRE007512	374	518	661	503	527	674
TPRE007513	1015	1652	2004	1177	1403	1641
TPRE007514	0	0	0	0	0	0
TPRE007515	61	59	128	64	67	95
TPRE007516	290	249	407	303	368	466
TPRE007517	3128	1594	2587	1856	1986	2634
TPRE007518	0	1	2	2	1	4
TPRE007519	295	381	470	296	417	396
TPRE007520	163	49	138	127	102	231
TPRE007521	356	407	453	319	326	419
TPRE007522	44	62	107	70	83	69
TPRE007523	40	37	89	44	50	75
TPRE007524	517	509	817	596	566	825
TPRE007525	585	579	782	417	632	695
TPRE007526	0	0	8	4	12	4
TPRE007527	90	0	11	32	14	14
TPRE007528	8763	10509	15229	10326	11100	15673
TPRE007529	566	328	595	341	529	550
TPRE007530	2022	2657	3846	2486	2912	3483
TPRE007531	759	1127	1214	942	781	1024
TPRE007532	194	163	216	197	240	210
TPRE007533	11	34	50	17	20	38
TPRE007534	595	865	1126	579	775	808
TPRE007535	9	40	30	36	46	41
TPRE007536	3962	4788	6514	4552	4644	7541
TPRE007537	170	239	230	172	194	302
TPRE007538	49	40	83	36	57	61
TPRE007539	1041	1396	1389	1116	1303	1715
TPRE007540	28	46	55	33	38	35
TPRE007541	0	0	0	1	2	9
TPRE007542	1684	1730	2505	1737	1643	2287
TPRE007543	2570	3444	4839	2871	3050	4480
TPRE007544	298	497	730	442	421	689
TPRE007545	270	328	557	344	296	453
TPRE007546	10	24	32	20	22	39
TPRE007547	17	14	17	23	7	34
TPRE007548	28	337	56	361	81	110
TPRE007549	407	325	464	388	390	611
TPRE007550	4795	1701	5124	2239	1836	4282
TPRE007551	214	281	349	251	252	352
TPRE007552	92	157	173	127	111	170
TPRE007553	212	117	129	121	162	201
TPRE007554	50	83	110	104	184	156
TPRE007555	3	0	5	3	10	7
TPRE007556	17	10	42	45	71	43
TPRE007557	48	28	47	44	35	42
TPRE007558	1255	1826	1764	1134	1531	1922
TPRE007559	153	202	236	162	183	293
TPRE007560	2870	4482	6430	4472	5175	5276
TPRE007561	1610	1747	2095	1417	1669	1804
TPRE007562	425	475	520	361	406	611
TPRE007563	1163	1384	1779	1570	1818	2293
TPRE007564	1126	1540	1532	1047	1299	1411
TPRE007565	578	824	1231	1036	1401	1342
TPRE007566	0	1	5	5	8	0
TPRE007567	107	174	290	246	350	356
TPRE007568	223	204	324	195	230	298
TPRE007569	82	34	91	92	94	84
TPRE007570	7422	10678	12890	8538	9522	12091
TPRE007571	2958	4051	4138	2438	2876	3508
TPRE007572	11	0	4	4	5	22
TPRE007573	1381	1725	2252	1720	1854	2120
TPRE007574	7236	4258	4538	3921	4292	5596
TPRE007575	3010	3942	6213	4207	4478	6083
TPRE007576	2275	2972	3388	2268	2975	3606
TPRE007577	1488	1696	1906	1394	1644	1928
TPRE007578	2	16	10	14	4	15
TPRE007579	17	19	54	46	26	55
TPRE007580	32	34	53	43	55	77
TPRE007581	59	17	65	31	26	24
TPRE007582	5399	8803	9909	5954	6851	8158
TPRE007583	1	5	5	9	12	1
TPRE007584	5	0	3	2	0	1
TPRE007585	6	2	0	0	2	0
TPRE007586	4237	4795	6763	4576	5086	5987
TPRE007587	1733	1511	2108	1456	1585	2189
TPRE007588	4208	3708	4218	2994	3199	4003
TPRE007589	3463	5290	5802	3960	4610	5547
TPRE007590	55	35	41	47	49	50
TPRE007591	136	96	129	68	123	146
TPRE007592	1446	2444	2806	2255	2509	2877
TPRE007593	942	823	989	741	915	1171
TPRE007594	2068	2357	2045	1633	2000	2358
TPRE007595	721	763	972	795	758	908
TPRE007596	1012	1801	1545	1306	1175	1373
TPRE007597	2331	3435	4394	2659	3034	3274
TPRE007598	43	51	49	25	39	51
TPRE007599	69	49	106	73	111	126
TPRE007600	1675	1304	1149	1183	1135	1470
TPRE007601	5739	2723	3107	2397	2704	3944
TPRE007602	2663	2440	3182	2618	2743	3657
TPRE007603	39	22	48	43	31	66
TPRE007604	1057	927	996	798	912	1116
TPRE007605	2598	4154	5257	3616	4089	5029
TPRE007606	6267	8063	9394	6113	6799	8584
TPRE007607	136	139	163	125	156	184
TPRE007608	224	266	266	186	221	237
TPRE007609	9270	9467	10046	7581	8050	9879
TPRE007610	1841	2397	3034	2422	2100	3559
TPRE007611	3499	3292	4370	3502	3552	4963
TPRE007612	842	1111	1379	1018	1172	1271
TPRE007613	404	489	659	458	557	828
TPRE007614	4346	5776	7382	5312	5927	6937
TPRE007615	451	499	467	394	420	707
TPRE007616	828	1042	1068	932	990	1001
TPRE007617	523	639	966	587	620	979
TPRE007618	2359	3588	4107	2734	3218	3749
TPRE007619	496	640	506	391	515	576
TPRE007620	216	274	359	235	290	328
TPRE007621	9143	6697	12733	8635	10273	11762
TPRE007622	50	44	62	56	55	64
TPRE007623	356	272	299	204	317	242
TPRE007624	1296	1659	2102	1350	1581	2073
TPRE007625	532	57	126	215	107	272
TPRE007626	4258	2444	5132	2460	2142	4326
TPRE007627	5	15	14	7	8	17
TPRE007628	28	46	56	56	42	70
TPRE007629	13	28	31	29	17	31
TPRE007630	101	154	226	121	149	163
TPRE007631	4307	4707	5290	4239	4522	5154
TPRE007632	353	367	293	272	345	396
TPRE007633	7538	6407	7578	6008	6942	8906
TPRE007634	1999	2531	3249	2328	2561	2899
TPRE007635	690	747	848	701	749	946
TPRE007636	1203	1551	1290	1003	1168	1515
TPRE007637	1249	1644	1753	1393	1704	1794
TPRE007638	935	1298	1719	1284	1563	1668
TPRE007639	1681	2341	2227	1680	1806	2182
TPRE007640	53	24	42	48	54	58
TPRE007641	619	522	637	532	652	772
TPRE007642	414	533	601	441	471	596
TPRE007643	3062	3417	4305	3247	3943	4423
TPRE007644	2804	2754	3110	2562	2658	3311
TPRE007645	1659	2461	3230	2291	2769	3007
TPRE007646	1622	1257	1543	1327	1219	1931
TPRE007647	420	442	504	428	450	753
TPRE007648	1096	1312	1849	1151	1364	1867
TPRE007649	2585	3915	6241	3870	4576	5375
TPRE007650	4973	6993	8990	5804	7451	8874
TPRE007651	137	300	380	235	134	357
TPRE007652	56	57	128	75	77	171
TPRE007653	1362	1651	1620	1499	1557	1587
TPRE007654	2627	3438	4700	2885	3492	4205
TPRE007655	2297	2234	2368	1673	2116	3080
TPRE007656	1043	1222	1283	1127	1240	1339
TPRE007657	642	582	1035	723	804	1109
TPRE007658	284	327	490	358	436	499
TPRE007659	47	39	93	67	64	79
TPRE007660	5116	7795	9713	5691	6681	8095
TPRE007661	894	996	1349	982	1019	1340
TPRE007662	7132	10570	13367	9313	11491	11789
TPRE007663	2921	3800	4101	2716	3390	3724
TPRE007664	3147	1326	2117	1762	1854	2055
TPRE007665	2220	2345	2550	2022	2353	2423
TPRE007666	696	675	650	581	608	828
TPRE007667	1422	1454	1874	1532	1800	2018
TPRE007668	47	76	68	62	64	88
TPRE007669	0	1	0	0	0	0
TPRE007670	2	0	0	0	0	0
TPRE007671	1	2	4	0	7	4
TPRE007672	1612	1712	1964	1399	1541	1970
TPRE007673	4195	5665	5843	4266	5253	5748
TPRE007674	3290	4132	5295	4233	4625	5616
TPRE007675	1	0	2	3	0	1
TPRE007676	4	12	12	10	7	4
TPRE007677	1121	828	1445	1331	1326	2062
TPRE007678	3080	990	1683	1409	1571	1924
TPRE007679	3	2	2	4	9	3
TPRE007680	54	0	3	9	10	11
TPRE007681	207	283	445	343	401	464
TPRE007682	718	887	948	752	959	924
TPRE007683	805	897	1244	802	874	1028
TPRE007684	276	310	560	402	390	570
TPRE007685	513	860	1056	757	694	1151
TPRE007686	0	0	0	0	0	0
TPRE007687	0	0	1	4	0	0
TPRE007688	3	2	9	2	14	13
TPRE007689	16	12	32	19	18	7
TPRE007690	0	0	0	0	0	0
TPRE007691	0	0	0	0	0	0
TPRE007692	0	0	0	0	0	0
TPRE007693	0	0	0	0	0	0
TPRE007694	0	0	0	0	0	0
TPRE007695	0	0	0	0	0	0
TPRE007696	0	0	0	0	0	0
TPRE007697	2359	1080	1368	1412	1324	2153
TPRE007698	1920	1968	1749	1231	1585	1761
TPRE007699	1486	1501	1718	1267	1622	1857
TPRE007700	28	14	26	24	19	22
TPRE007701	1547	1757	2138	1432	1587	2006
TPRE007702	3192	3065	3738	2785	2850	3683
TPRE007703	296	364	426	280	380	431
TPRE007704	638	651	702	534	641	843
TPRE007705	9996	9759	9872	7043	8146	10151
TPRE007706	4419	6888	8930	6031	7314	8263
TPRE007707	1433	1770	2077	1511	1815	1992
TPRE007708	759	1083	933	762	868	1022
TPRE007709	3647	4283	4681	3508	3701	4613
TPRE007710	397	348	451	413	383	575
TPRE007711	50	34	58	37	54	47
TPRE007712	1130	1622	1794	1102	1307	1637
TPRE007713	1589	1828	2022	1582	1765	2262
TPRE007714	757	740	983	744	942	1123
TPRE007715	1453	754	1748	973	509	2203
TPRE007716	2231	2913	4270	3022	3447	4199
TPRE007717	14526	14341	20426	16098	20535	23224
TPRE007718	1	1	2	4	2	0
TPRE007719	1514	2496	3277	2643	2443	3469
TPRE007720	963	764	947	930	1000	1522
TPRE007721	712	1081	1347	991	1195	1382
TPRE007722	5247	5636	4343	3060	3605	4456
TPRE007723	2288	2975	4501	3052	3260	4416
TPRE007724	2588	3712	4296	3123	3305	3833
TPRE007725	2198	2606	3857	2285	2897	3330
TPRE007726	1183	981	818	748	849	1005
TPRE007727	2811	3103	3208	2676	3150	3801
TPRE007728	120	158	252	164	164	205
TPRE007729	0	0	0	0	0	0
TPRE007730	0	0	0	0	0	0
TPRE007731	2	0	0	0	0	0
TPRE007732	1196	439	952	1262	1678	1724
TPRE007733	0	0	2	0	0	0
TPRE007734	382	459	343	404	432	554
TPRE007735	1049	1348	1434	1047	1175	1392
TPRE007736	1581	841	1130	1045	1164	1260
TPRE007737	10568	6672	8796	6746	8832	8689
TPRE007738	3354	1128	2715	1928	2404	2600
TPRE007739	1042	572	978	641	716	919
TPRE007740	1530	1198	1166	1002	1107	1263
TPRE007741	2173	2284	1811	1469	1773	2180
TPRE007742	2639	2817	3126	2384	2794	3292
TPRE007743	14930	12874	20058	12837	14497	16293
TPRE007744	6426	7071	9179	5615	6324	7699
TPRE007745	4146	2240	2915	2821	2504	3856
TPRE007746	566	301	413	289	355	598
TPRE007747	5419	3506	5742	4606	5258	6531
TPRE007748	9919	10061	12038	9935	9754	14821
TPRE007749	739	544	570	568	502	804
TPRE007750	1006	1256	1208	849	1078	1326
TPRE007751	6	0	1	2	15	5
TPRE007752	973	1092	1242	946	920	1197
TPRE007753	1572	1944	2545	1835	1831	2626
TPRE007754	3510	4418	5222	3782	4343	4851
TPRE007755	1364	1556	1471	1256	1336	1708
TPRE007756	6474	10144	13829	8985	10853	12419
TPRE007757	591	822	809	585	709	874
TPRE007758	293	380	381	294	315	449
TPRE007759	32	22	17	24	19	21
TPRE007760	16	3	10	2	4	6
TPRE007761	1612	1844	1491	1092	1465	1689
TPRE007762	879	193	570	527	654	745
TPRE007763	828	494	638	610	720	762
TPRE007764	4720	5384	5781	4408	5145	5923
TPRE007765	6519	10671	10797	8117	11005	11649
TPRE007766	203	266	289	209	152	265
TPRE007767	942	1643	1974	1274	1716	1785
TPRE007768	7	5	13	1	10	12
TPRE007769	209	248	379	238	237	334
TPRE007770	2969	2469	3102	2409	2187	3577
TPRE007771	1670	2230	2741	2044	1970	2846
TPRE007772	669	878	983	778	827	1092
TPRE007773	827	1184	1474	1003	977	1148
TPRE007774	160	150	210	177	145	164
TPRE007775	0	0	0	1	0	0
TPRE007776	98	8	1	44	32	50
TPRE007777	40	1	2	12	7	6
TPRE007778	1492	1089	1447	1225	1213	1575
TPRE007779	3358	4728	6712	4511	5467	6508
TPRE007780	0	2	0	0	0	0
TPRE007781	868	193	427	272	320	454
TPRE007782	1026	689	890	789	777	1087
TPRE007783	5	0	6	5	5	8
TPRE007784	29	93	89	63	66	97
TPRE007785	137	2	1	43	48	81
TPRE007786	4556	5730	7206	5318	5665	6702
TPRE007787	3017	2426	3323	2859	2852	3808
TPRE007788	3636	5024	5337	3811	4106	4898
TPRE007789	37	60	75	75	78	68
TPRE007790	100	153	211	144	152	265
TPRE007791	839	989	1245	874	926	1248
TPRE007792	1	0	0	0	0	0
TPRE007793	467	328	370	284	296	431
TPRE007794	0	0	0	0	0	0
TPRE007795	61	52	92	96	79	90
TPRE007796	3346	1806	3498	2942	2247	4466
TPRE007797	426	450	480	396	427	581
TPRE007798	806	699	1214	1188	1565	1482
TPRE007799	602	643	723	702	622	754
TPRE007800	894	967	920	690	840	1047
TPRE007801	2279	2875	2973	2187	2603	3164
TPRE007802	394	405	387	355	334	450
TPRE007803	2719	1591	2345	2308	1949	2702
TPRE007804	470	550	613	461	548	583
TPRE007805	2249	1950	1806	1576	1767	2230
TPRE007806	1604	1678	1789	1249	1480	1801
TPRE007807	2084	2375	2634	2025	2215	2705
TPRE007808	1534	1566	1178	893	1085	1570
TPRE007809	2888	1937	2867	2062	1621	3717
TPRE007810	1320	1475	1833	1532	1707	2114
TPRE007811	1273	1207	890	746	815	991
TPRE007812	2221	2681	3548	2430	3016	3300
TPRE007813	1884	1232	2085	1898	2148	2669
TPRE007814	0	0	0	1	0	0
TPRE007815	377	710	937	493	735	711
TPRE007816	0	0	0	0	0	0
TPRE007817	0	0	0	0	0	0
TPRE007818	20507	2248	8956	13897	8306	15488
TPRE007819	26	0	1	4	5	2
TPRE007820	275	367	340	538	291	745
TPRE007821	2814	3501	5373	3453	4049	4627
TPRE007822	2747	3768	5871	3950	4427	5464
TPRE007823	351	583	667	408	484	605
TPRE007824	109	77	171	92	121	157
TPRE007825	365	596	735	473	573	728
TPRE007826	6159	7402	6608	4774	5100	6109
TPRE007827	20	8	10	14	12	5
TPRE007828	516	586	524	463	545	738
TPRE007829	1994	2357	2162	1751	1824	2245
TPRE007830	943	1348	2143	1466	1600	2140
TPRE007831	2528	3650	4420	3090	3275	3855
TPRE007832	321	281	524	321	479	340
TPRE007833	4322	7562	8864	5375	5825	6929
TPRE007834	2106	2430	3466	2232	2651	2939
TPRE007835	0	0	0	0	0	0
TPRE007836	0	0	0	0	0	0
TPRE007837	7	7	16	13	10	23
TPRE007838	0	0	0	0	0	0
TPRE007839	164	82	198	102	239	259
TPRE007840	8119	12945	16766	10958	13748	15001
TPRE007841	6	14	17	13	19	21
TPRE007842	2022	3009	2972	2223	2664	2996
TPRE007843	1444	1970	2393	1845	1872	2527
TPRE007844	735	727	768	640	754	910
TPRE007845	538	379	798	517	669	699
TPRE007846	488	502	617	400	531	624
TPRE007847	0	0	0	4	0	0
TPRE007848	2	0	0	0	2	2
TPRE007849	0	0	0	0	0	0
TPRE007850	0	0	0	0	0	0
TPRE007851	33	26	23	26	66	34
TPRE007852	0	0	0	2	0	0
TPRE007853	0	0	0	0	0	0
TPRE007854	0	0	0	0	0	0
TPRE007855	0	0	0	0	0	0
TPRE007856	1	1	5	0	0	4
TPRE007857	0	0	0	0	0	0
TPRE007858	3	1	1	1	3	4
TPRE007859	3	3	6	0	3	3
TPRE007860	0	0	0	0	0	0
TPRE007861	0	0	0	0	0	0
TPRE007862	0	0	0	0	0	0
TPRE007863	1278	1896	1857	1265	1315	1633
TPRE007864	6878	5286	5858	4172	4225	6242
TPRE007865	126	176	243	181	188	339
TPRE007866	92	140	165	134	129	194
TPRE007867	649	469	783	535	562	694
TPRE007868	6284	8012	8882	5845	6772	8249
TPRE007869	626	665	668	468	542	590
TPRE007870	1954	1577	2635	2041	2047	3267
TPRE007871	7	34	51	46	12	20
TPRE007872	21	25	23	33	43	60
TPRE007873	3	1	4	2	2	3
TPRE007874	1589	1038	2103	2079	1647	5598
TPRE007875	25	23	44	30	35	32
TPRE007876	227	166	266	236	197	224
TPRE007877	3746	3837	4578	3658	3595	4776
TPRE007878	2369	2384	3352	2746	2924	3890
TPRE007879	539	439	657	602	712	835
TPRE007880	645	661	723	752	720	877
TPRE007881	4368	4642	6056	5355	5639	6647
TPRE007882	18	15	32	27	18	37
TPRE007883	233	91	254	185	200	183
TPRE007884	4	1	0	3	1	0
TPRE007885	3628	5503	6450	4785	5383	6460
TPRE007886	2	3	3	0	0	0
TPRE007887	631	658	549	514	529	695
TPRE007888	11	11	17	10	17	19
TPRE007889	0	2	4	62	65	113
TPRE007890	4	0	0	23	23	30
TPRE007891	11	7	21	5	11	12
TPRE007892	28	3	16	62	1	240
TPRE007893	74	43	51	55	61	98
TPRE007894	9	5	3	1	1	23
TPRE007895	6256	7028	9700	6997	7172	9900
TPRE007896	208	224	333	252	222	340
TPRE007897	1502	2107	2664	1859	2133	2587
TPRE007898	843	863	995	768	848	1110
TPRE007899	5721	7757	8554	6193	6473	9227
TPRE007900	8445	11001	14746	9900	10207	14829
TPRE007901	2876	2908	5139	3384	3274	5359
TPRE007902	0	0	0	0	3	0
TPRE007903	1883	1926	2352	1809	2065	2553
TPRE007904	1427	1640	1749	1239	1254	1601
TPRE007905	6796	3071	4137	3941	4035	3717
TPRE007906	2177	2929	2744	1945	2194	2752
TPRE007907	25	20	19	28	35	49
TPRE007908	2551	1675	2899	1899	2157	4034
TPRE007909	176	313	275	228	241	337
TPRE007910	3723	5396	5498	5035	5206	6405
TPRE007911	3029	1031	1834	2218	1902	2916
TPRE007912	5632	5130	7362	5806	7703	6880
TPRE007913	1555	1332	2090	1445	1874	1741
TPRE007914	23564	28281	33829	28075	28176	38138
TPRE007915	4421	2409	3249	2994	2940	4138
TPRE007916	0	0	0	0	0	0
TPRE007917	0	0	0	1	0	0
TPRE007918	15	15	11	11	18	22
TPRE007919	0	0	0	0	0	2
TPRE007920	11651	2420	6625	7390	5588	10790
TPRE007921	0	0	0	0	0	0
TPRE007922	25	7	17	30	25	19
TPRE007923	98	110	128	92	91	85
TPRE007924	6195	840	3461	2449	928	4325
TPRE007925	20545	1120	6861	10949	6390	13335
TPRE007926	920	566	807	1296	426	1928
TPRE007927	5	2	4	0	6	7
TPRE007928	42	53	104	78	84	82
TPRE007929	1366	1667	2581	1979	2320	2757
TPRE007930	6313	8153	7602	5013	6224	7128
TPRE007931	1843	2361	2788	1937	2363	2869
TPRE007932	1185	1343	1702	1261	1422	1815
TPRE007933	1320	1866	1983	1436	1544	1641
TPRE007934	240	190	250	308	320	336
TPRE007935	147	113	114	57	64	92
TPRE007936	4152	7384	10002	5975	7295	8020
TPRE007937	412	435	504	427	430	562
TPRE007938	382	737	748	521	520	545
TPRE007939	905	959	1160	970	942	1256
TPRE007940	293	347	595	303	381	358
TPRE007941	507	633	625	517	636	676
TPRE007942	572	577	390	271	368	505
TPRE007943	400	387	511	412	455	563
TPRE007944	1242	1387	1912	1343	1448	1884
TPRE007945	409	539	733	566	631	526
TPRE007946	1332	1392	1475	1056	1174	1502
TPRE007947	943	965	943	785	748	1022
TPRE007948	314	293	412	317	365	304
TPRE007949	142	110	109	110	99	123
TPRE007950	245	369	346	250	275	374
TPRE007951	1110	1984	2556	1982	2093	3015
TPRE007952	1472	1716	2190	1759	1771	2510
TPRE007953	3768	3466	4919	3972	3603	5541
TPRE007954	3790	4373	4457	3375	4054	4659
TPRE007955	137	124	157	127	143	209
TPRE007956	313	401	441	415	378	541
TPRE007957	876	1442	1730	1217	1493	1776
TPRE007958	4457	5738	6831	4667	5107	6197
TPRE007959	969	1128	1717	1169	1264	1554
TPRE007960	250	261	276	151	318	334
TPRE007961	24	13	21	22	59	42
TPRE007962	536	443	639	537	620	846
TPRE007963	526	570	619	545	640	749
TPRE007964	2880	2797	3132	2463	2737	3775
TPRE007965	316	233	364	407	511	493
TPRE007966	649	812	1159	921	1090	1426
TPRE007967	189	252	369	298	276	379
TPRE007968	707	763	783	525	716	619
TPRE007969	152	202	176	142	143	186
TPRE007970	2202	2932	4096	2869	2981	3974
TPRE007971	6177	8291	10925	7484	8778	10499
TPRE007972	1735	3281	4157	2468	2902	3312
TPRE007973	818	710	939	706	811	924
TPRE007974	366	389	374	340	379	335
TPRE007975	1684	1960	1579	1200	1592	1872
TPRE007976	2151	3034	3777	2932	3521	3658
TPRE007977	361	490	642	484	492	590
TPRE007978	171	267	236	219	184	291
TPRE007979	904	1212	1606	1072	1258	1813
TPRE007980	1	3	0	0	0	5
TPRE007981	1903	2669	3341	2275	2581	3017
TPRE007982	5297	6533	8072	5826	5754	8353
TPRE007983	1913	2271	1852	1515	1696	2293
TPRE007984	2489	3590	4636	3073	3782	4258
TPRE007985	76	66	85	80	73	74
TPRE007986	441	679	839	623	716	792
TPRE007987	4264	2221	3066	2106	2227	3110
TPRE007988	5273	5310	5094	3815	4616	5364
TPRE007989	2548	2426	1906	1702	1971	2402
TPRE007990	195	230	259	230	262	339
TPRE007991	571	611	941	606	740	831
TPRE007992	770	715	926	698	858	943
TPRE007993	1011	685	850	886	936	1077
TPRE007994	1478	2223	2896	1892	2071	2500
TPRE007995	1245	1519	1770	1450	1569	1976
TPRE007996	2353	3350	4157	2689	3197	3456
TPRE007997	5508	5508	7564	5543	6053	8065
TPRE007998	1009	1319	1516	1068	1291	1313
TPRE007999	306	322	326	279	270	321
TPRE008000	612	206	303	411	317	1449
TPRE008001	0	0	0	0	0	0
TPRE008002	28	6	12	13	7	20
TPRE008003	44	25	36	27	22	42
TPRE008004	50	67	113	68	77	61
TPRE008005	1	2	10	8	3	9
TPRE008006	554	391	604	523	503	983
TPRE008007	573	548	717	629	668	913
TPRE008008	922	1238	1428	1006	1151	1257
TPRE008009	88	118	184	108	121	173
TPRE008010	1147	1187	1486	1001	1117	1556
TPRE008011	305	299	505	347	309	415
TPRE008012	1829	2118	1847	1430	1675	2098
TPRE008013	2636	3213	3051	2428	2557	2915
TPRE008014	945	1218	1413	936	1106	1203
TPRE008015	27	11	7	24	16	30
TPRE008016	1204	1503	1637	1419	1534	1821
TPRE008017	1553	2336	2495	1575	2177	2370
TPRE008018	353	394	424	343	318	414
TPRE008019	534	642	527	369	521	546
TPRE008020	1213	711	1149	859	929	1515
TPRE008021	3928	4279	4544	3555	3909	4902
TPRE008022	26364	24490	27209	22051	22718	30683
TPRE008023	8972	10560	10604	7357	8938	10183
TPRE008024	3363	3583	3219	2595	3138	3822
TPRE008025	2515	3199	3468	2519	2616	3384
TPRE008026	544	217	613	527	527	627
TPRE008027	3740	3994	5604	3907	4608	5496
TPRE008028	6491	3981	6463	5248	6420	6729
TPRE008029	55	53	73	42	64	61
TPRE008030	8	25	47	25	22	39
TPRE008031	11	10	14	5	10	14
TPRE008032	288	462	432	369	397	463
TPRE008033	3340	3442	4252	4776	3928	7259
TPRE008034	535	593	611	375	431	633
TPRE008035	1680	2589	3339	2187	2473	2574
TPRE008036	0	0	2	0	8	1
TPRE008037	3852	2837	4089	3526	4313	4758
TPRE008038	521	361	563	391	467	462
TPRE008039	755	797	824	652	721	1030
TPRE008040	648	750	883	639	674	743
TPRE008041	8132	12430	14451	10035	11973	13041
TPRE008042	1697	2519	2759	1455	2026	2273
TPRE008043	1023	1037	1547	1141	1164	1489
TPRE008044	757	876	825	767	816	1080
