Gene	Bc	Ac	Cc	Ai	Bi	Ci
TPRE000217	1580	1532	1963	1636	1740	2259
TPRE000218	1897	2781	3820	2675	2882	3564
TPRE000219	126	132	213	159	157	234
TPRE000220	285	355	426	214	300	424
TPRE000221	3071	4991	6003	4076	4991	5287
TPRE000222	14420	15770	22153	15132	17249	24533
TPRE000223	0	7	0	15	3	1
TPRE000224	0	0	0	0	0	0
TPRE000225	0	0	0	0	0	0
TPRE000226	2	1	1	0	3	1
TPRE000227	67	87	106	85	64	86
TPRE000228	996	995	938	730	890	1121
TPRE000229	30	54	38	51	44	80
TPRE000230	116	117	188	171	162	226
TPRE000231	193	218	362	260	302	424
TPRE000232	33	43	51	62	53	43
TPRE000233	43	27	67	49	68	67
TPRE000234	1396	1760	2496	1867	1979	2468
TPRE000235	45	39	58	42	51	57
TPRE000236	21030	21331	28603	19582	23400	28604
TPRE000237	470	569	512	379	368	407
TPRE000238	1540	1524	2011	1316	1530	1943
TPRE000239	152	127	118	86	173	158
TPRE000240	778	906	859	695	770	803
TPRE000241	18196	11426	22751	2508	2328	4629
TPRE000242	3588	4135	3779	2789	3349	3597
TPRE000243	2129	3028	4016	2836	3127	3641
TPRE000244	594	644	787	635	608	904
TPRE000245	4675	6280	6771	5157	5126	6853
TPRE000246	2247	2094	2455	1729	1846	2504
TPRE000247	2192	1993	2748	2237	2453	3278
TPRE000248	1150	1586	1759	1205	1356	1589
TPRE000249	14	27	22	8	15	25
TPRE000250	468	514	538	325	366	433
TPRE000251	861	1036	1197	880	930	1279
TPRE000252	1482	1391	1510	1130	1320	1499
TPRE000253	13	20	3	20	16	21
TPRE000254	12692	17678	20159	16266	14730	23021
TPRE000255	4915	6413	6951	5001	5825	7056
TPRE000256	864	926	1171	1014	1092	1654
TPRE000257	2638	3532	4557	3439	3369	4086
TPRE000258	1045	1153	969	762	829	1184
TPRE000259	0	7	0	0	0	0
TPRE000260	0	0	0	0	0	0
TPRE000261	0	0	0	0	0	0
TPRE000262	0	0	0	0	0	0
TPRE000263	0	0	0	0	0	0
TPRE000264	24	24	32	21	31	30
TPRE000265	64	68	121	91	86	113
TPRE000266	42	35	58	44	44	52
TPRE000267	2	5	6	1	3	6
TPRE000268	4	0	3	1	2	3
TPRE000269	76	87	144	88	121	138
TPRE000270	45	54	26	17	48	58
TPRE000271	1610	1626	1512	1194	1407	1735
TPRE000272	6	9	10	3	9	2
TPRE000273	548	679	902	708	807	911
TPRE000274	627	911	1076	899	780	1257
TPRE000275	140	205	355	238	213	349
TPRE000276	99	109	203	178	135	191
TPRE000277	1	3	2	2	0	0
TPRE000278	3591	3312	3787	3715	3527	4911
TPRE000279	2173	3226	3102	2057	2668	2835
TPRE000280	2	0	0	0	0	2
TPRE000281	3253	3338	3900	2841	3226	3914
TPRE000282	69	33	56	33	57	75
TPRE000283	3131	2841	3934	2842	3240	3885
TPRE000284	34	35	52	35	41	67
TPRE000285	98	91	186	121	176	223
TPRE000286	13	10	27	20	18	24
TPRE000287	227	105	209	134	151	198
TPRE000288	25	6	7	7	18	21
TPRE000289	4494	2094	3724	3201	3548	4440
TPRE000290	485	603	525	426	426	558
TPRE000291	6336	6320	7269	5240	6207	7821
TPRE000292	141170	209663	243387	166579	181829	215150
TPRE000293	492	517	631	538	591	683
TPRE000294	5602	8579	10857	6374	7838	8690
TPRE000295	707	1184	1523	965	1043	1247
TPRE000296	493	325	402	337	373	500
TPRE000297	3644	5073	6960	4585	4981	7065
TPRE000298	5333	6115	5951	4498	5154	5893
TPRE000299	1719	2172	2184	1677	2079	2289
TPRE000300	3024	2378	3777	3014	3367	4382
TPRE000301	1129	1691	1521	954	1202	1285
TPRE000302	42	80	140	70	92	79
TPRE000303	839	368	717	520	466	899
TPRE000304	1505	1451	1362	920	1282	1515
TPRE000305	2659	2794	2748	2297	2625	3029
TPRE000306	626	811	981	786	870	929
TPRE000307	6733	6882	8453	6469	6481	9164
TPRE000308	2561	3555	3863	2689	3091	3375
TPRE000309	931	867	847	730	795	1073
TPRE000310	489	407	511	446	456	620
TPRE000311	1515	805	878	867	891	1155
TPRE000312	80	115	132	113	115	90
TPRE000313	17	12	10	18	12	15
TPRE000314	1857	2147	2306	1732	1946	2386
TPRE000315	2096	2558	2512	1868	2023	2471
TPRE000316	42	46	40	62	41	73
TPRE000317	1893	2306	2614	1865	2256	2674
TPRE000318	5007	5468	5865	4569	4930	6200
TPRE000319	429	593	701	576	671	835
TPRE000320	0	0	0	0	0	0
TPRE000321	0	0	0	0	0	0
TPRE000322	14	17	21	21	18	32
TPRE000323	16	19	21	10	6	24
TPRE000324	0	0	0	0	0	0
TPRE000325	8	10	16	8	4	10
TPRE000326	0	0	0	0	0	0
TPRE000327	0	0	0	0	0	0
TPRE000328	0	0	0	0	2	0
TPRE000329	0	0	0	0	0	0
TPRE000330	6	1	2	1	3	8
TPRE000331	31	29	45	38	37	41
TPRE000332	0	0	0	0	0	0
TPRE000333	0	0	0	0	0	0
TPRE000334	17	20	23	21	24	16
TPRE000335	1824	1830	1278	1138	1509	1936
TPRE000336	2008	1883	1641	1141	1626	1955
TPRE000337	224	261	164	202	188	265
TPRE000338	0	0	0	4	2	3
TPRE000339	0	0	0	3	0	5
TPRE000340	227	260	297	194	228	276
TPRE000341	0	0	0	0	0	0
TPRE000342	1499	1587	1398	1213	1309	1549
TPRE000343	2	1	1	0	0	7
TPRE000345	1246	1850	2053	1349	1552	1896
TPRE000347	6	3	10	8	10	13
TPRE000348	0	0	0	3	0	5
TPRE000349	6	12	8	12	10	31
TPRE000357	0	0	0	0	0	0
TPRE000358	29	30	21	36	25	25
TPRE000359	1	3	2	0	0	5
TPRE000360	74	100	89	84	98	131
TPRE000361	465	412	718	437	586	729
TPRE000362	3066	3251	3791	2902	3318	4309
TPRE000363	2185	2730	2849	1738	2419	2936
TPRE000364	779	859	803	684	786	1152
TPRE000365	1974	2438	2565	1911	2289	2667
TPRE000366	8	7	11	18	0	56
TPRE000367	4186	3067	5201	3733	3621	5662
TPRE000368	896	903	608	504	565	761
TPRE000369	6673	9163	10545	7489	8069	9359
TPRE000370	1514	1388	1585	1386	1547	2099
TPRE000371	318	416	423	314	366	416
TPRE000372	96	113	125	92	108	160
TPRE000373	208	341	617	293	408	437
TPRE000374	679	954	1646	1063	1151	1213
TPRE000375	2	1	4	2	1	2
TPRE000376	0	0	0	0	0	0
TPRE000377	91	129	150	90	96	123
TPRE000378	40	63	96	50	60	78
TPRE000379	1622	2034	2760	2098	2292	2867
TPRE000380	1028	1399	1492	1091	1279	1436
TPRE000381	0	4	0	1	3	4
TPRE000382	3047	5459	6529	4746	6230	6254
TPRE000383	132	294	399	256	261	317
TPRE000384	770	1047	1141	888	1018	1130
TPRE000385	33	76	176	98	80	138
TPRE000386	457	288	334	484	256	635
TPRE000387	0	0	1	1	1	0
TPRE000388	2124	2761	4243	3020	3243	4295
TPRE000389	11472	14542	14693	10236	12827	14482
TPRE000390	8718	11595	10345	7489	8471	9111
TPRE000391	726	946	1390	941	828	1316
TPRE000392	2248	2477	3287	2551	2565	3824
TPRE000393	1144	1250	1409	968	1232	1321
TPRE000394	1731	2147	1974	1615	1717	2162
TPRE000395	5618	9535	13934	8268	9773	10598
TPRE000396	1406	1485	2209	1554	1958	2280
TPRE000397	484	3	7	118	34	107
TPRE000398	44	57	44	63	81	45
TPRE000399	69181	61265	64579	48253	48269	72958
TPRE000400	63385	28014	30672	26676	26919	37707
TPRE000401	485	603	686	537	607	725
TPRE000402	53	30	63	47	52	60
TPRE000403	170	170	128	83	95	168
TPRE000404	1002	1067	946	610	822	893
TPRE000405	1024	939	761	642	698	843
TPRE000406	1997	2082	2624	1821	1939	2833
TPRE000407	14363	16438	16479	12352	13696	16286
TPRE000408	170	182	229	236	205	266
TPRE000409	243	181	297	240	273	357
TPRE000410	0	0	0	2	0	5
TPRE000411	12	24	25	14	30	17
TPRE000412	6	14	16	3	4	9
TPRE000413	5769	8054	8911	6607	7325	8703
TPRE000414	2195	2229	3226	2476	2790	3508
TPRE000415	1200	1213	1672	1270	1423	1658
TPRE000416	109	56	85	75	119	129
TPRE000417	47	40	63	47	31	93
TPRE000418	5402	5630	5800	4591	5148	5874
TPRE000419	875	881	1028	886	976	1171
TPRE000420	895	1460	1980	1307	1572	1758
TPRE000421	2140	2814	3876	2790	3327	4182
TPRE000422	2512	3294	4890	3135	3579	4447
TPRE000423	69	32	77	59	78	128
TPRE000424	978	777	933	798	841	925
TPRE000425	843	1079	1177	996	991	1195
TPRE000426	0	2	0	0	0	1
TPRE000427	365	523	691	447	477	742
TPRE000428	5	7	25	7	16	19
TPRE000429	7091	898	2912	5153	3200	7472
TPRE000430	8	33	63	36	48	38
TPRE000431	10669	3700	6588	6097	6715	7815
TPRE000432	0	0	0	0	1	1
TPRE000433	156	259	209	126	151	191
TPRE000434	3890	3801	5055	3854	3905	5811
TPRE000435	137	97	140	110	132	170
TPRE000436	726	618	839	774	854	996
TPRE000437	281	352	384	327	383	363
TPRE000438	1122	1320	1266	1019	1301	1388
TPRE000439	7343	10502	12258	7569	9213	11159
TPRE000440	821	925	1445	1121	1216	1554
TPRE000441	234	248	331	294	290	374
TPRE000442	507	687	926	678	736	1189
TPRE000443	53	54	67	56	72	80
TPRE000444	5121	3057	2922	2540	2726	3358
TPRE000445	3794	4162	5415	4183	4202	5987
TPRE000446	4044	4920	5057	3645	4123	4827
TPRE000447	1	0	0	0	0	0
TPRE000448	102	154	225	171	321	235
TPRE000449	1584	1931	2248	1746	1762	2498
TPRE000450	1829	1924	2242	1774	1754	2296
TPRE000451	3325	2109	2947	2621	2250	3975
TPRE000452	2242	2875	2703	1827	2241	2701
TPRE000453	1364	1534	1523	1157	1383	1605
TPRE000454	2334	2668	2432	1996	2501	2623
TPRE000455	553	601	675	572	530	775
TPRE000456	2037	3318	3257	2023	2451	2516
TPRE000457	2359	2940	4154	3160	3103	4416
TPRE000458	2850	2680	3490	3557	3511	6018
TPRE000459	149	102	123	168	219	211
TPRE000460	2192	1242	2498	1594	1807	2244
TPRE000461	23	18	29	26	18	79
TPRE000462	0	23	10	4	3	13
TPRE000463	0	0	0	0	0	3
TPRE000464	123	68	59	62	51	63
TPRE000465	293	100	159	152	163	178
TPRE000466	757	422	757	624	641	862
TPRE000467	662	548	905	710	851	961
TPRE000468	173	327	298	220	259	346
TPRE000469	376	441	523	373	402	514
TPRE000470	4253	1662	4052	2890	2731	5194
TPRE000471	631	299	840	696	783	850
TPRE000472	673	774	1012	761	818	1044
TPRE000473	3699	4383	4545	3308	3717	4583
TPRE000474	1597	2547	3478	2444	2973	3706
